trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
272,False,"{'a': 1, 'e': 0.46425769455160537}",20,0,-54.797300284025546,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",1
273,False,"{'a': 1, 'e': 0.46071118925814536}",25,6,-17.9244406043517,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
274,False,"{'a': 1, 'e': 0.45715731259548575}",25,16,9.923862690606354,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 1, 'e': 0.4535961214255773}",20,0,-24.860170405726418,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
276,False,"{'a': 1, 'e': 0.45002767272740274}",25,0,-56.55473925895932,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
277,False,"{'a': 1, 'e': 0.4464520235960651}",20,0,-49.15931483689074,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
278,False,"{'a': 1, 'e': 0.4428692312418743}",30,12,-69.63081805337843,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 0}",1
279,False,"{'a': 1, 'e': 0.43927935298943144}",20,0,-64.912105465444,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
280,False,"{'a': 1, 'e': 0.4356824462767121}",30,0,-21.982013145886825,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
281,False,"{'a': 1, 'e': 0.4320785686541468}",30,18,0.919894515471559,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
282,False,"{'a': 1, 'e': 0.42846777778370077}",20,12,-28.876329055217347,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
283,False,"{'a': 1, 'e': 0.4248501314379508}",25,14,-27.22072554734732,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
284,False,"{'a': 1, 'e': 0.42122568749916134}",25,3,-48.28082432799165,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 1}",1
285,False,"{'a': 1, 'e': 0.41759450395835795}",20,3,-37.819304107638615,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
286,False,"{'a': 1, 'e': 0.4139566389144}",20,0,-39.305955276660114,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
287,False,"{'a': 1, 'e': 0.4103121505730504}",20,9,20.757272077778946,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 1, 'e': 0.40666109724604504}",25,20,11.093626074161252,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 1, 'e': 0.4030035373501593}",25,0,-61.422139080747904,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
290,False,"{'a': 1, 'e': 0.3993395294062732}",20,0,-11.641695831349764,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
291,False,"{'a': 1, 'e': 0.39566913203843584}",20,16,6.181244522950468,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 1, 'e': 0.39199240397292684}",20,6,-17.51699937886503,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
293,False,"{'a': 1, 'e': 0.38830940403731673}",20,0,-123.62914747158169,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
294,False,"{'a': 1, 'e': 0.38462019115952595}",30,13,-52.59070514412501,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
295,False,"{'a': 1, 'e': 0.38092482436688185}",20,7,20.158623199882832,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 1, 'e': 0.37722336278517427}",25,13,14.708489385883551,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 1, 'e': 0.37351586563770955}",25,12,-3.0231847095876683,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
298,False,"{'a': 1, 'e': 0.36980239224436295}",20,9,16.236865491746528,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 1, 'e': 0.36608300202062954}",20,11,-27.484466066006966,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
300,False,"{'a': 1, 'e': 0.3623577544766736}",30,19,6.9304688690043275,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
301,False,"{'a': 1, 'e': 0.35862670921637635}",25,14,-2.8286840812581855,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
302,False,"{'a': 1, 'e': 0.3548899259363823}",25,3,-28.851578093560498,"{0: 18, 1: 1, 2: 1, 3: 2, 4: 0}",1
303,False,"{'a': 1, 'e': 0.3511474644251443}",20,15,3.8441176717501753,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 1, 'e': 0.34739938456196656}",20,8,-41.22943994761452,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
305,False,"{'a': 1, 'e': 0.34364574631604705}",30,24,9.577139042990211,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 1, 'e': 0.3398866097455176}",20,1,-19.754773212624166,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
